date,solo_travel,age,trip_count,travel_reason,trip_enjoyment,spontaneity,next_destination,enjoyment_rate
2025-02-10 15:57:18,true,55+,10+,Adventure,Personal growth,8,true,3
2024-03-07 07:05:08,false,55+,0-1,Budget-friendly,Trying new food,8,true,7
2025-01-08 22:55:25,true,Under 25,2-5,Adventure,Personal growth,9,true,2
2024-08-04 21:25:08,true,55+,10+,Relaxation,Practicing a new language,6,true,4
2025-01-09 01:10:26,false,25-34,6-9,Relaxation,Meeting new people,7,false,3
2025-02-09 21:53:46,false,55+,0-1,Relaxation,Trying new food,4,true,1
2025-02-26 22:49:59,true,45-54,0-1,Relaxation,Meeting new people,8,true,8
2024-05-21 12:40:57,true,45-54,2-5,Relaxation,Personal growth,9,true,9
2024-09-26 07:34:25,true,55+,2-5,Self-discovery,Practicing a new language,2,true,3
2024-05-07 19:56:47,true,35-44,2-5,Cultural Immersion,Personal growth,5,false,10
2024-09-16 05:47:05,false,45-54,10+,Budget-friendly,Trying new food,2,false,2
2025-01-05 18:05:45,false,35-44,6-9,Self-discovery,Meeting new people,4,true,10
2024-11-09 02:03:01,false,Under 25,0-1,Self-discovery,Trying new food,3,true,4
2025-02-03 20:42:16,false,45-54,2-5,Adventure,Practicing a new language,7,true,8
2024-10-07 07:05:49,false,55+,6-9,Relaxation,Practicing a new language,2,true,1
2024-03-29 02:37:03,true,Under 25,2-5,Self-discovery,Exploring new places,3,true,9
2025-01-13 17:53:17,false,Under 25,6-9,Budget-friendly,Practicing a new language,8,false,2
2024-03-24 18:11:25,true,25-34,2-5,Adventure,Personal growth,7,false,5
2024-03-28 20:34:58,true,35-44,2-5,Budget-friendly,Meeting new people,7,true,8
2024-07-29 08:04:43,false,45-54,10+,Budget-friendly,Personal growth,6,true,10
2024-03-16 02:39:45,true,45-54,2-5,Budget-friendly,Trying new food,10,false,8
2024-06-27 16:37:45,false,35-44,6-9,Adventure,Personal growth,5,false,6
2024-04-01 13:31:40,true,45-54,2-5,Budget-friendly,Personal growth,3,true,2
2024-06-08 01:00:29,false,Under 25,6-9,Self-discovery,Trying new food,5,true,7
2024-10-19 22:20:46,false,45-54,0-1,Cultural Immersion,Exploring new places,6,true,5
2024-04-16 21:55:14,false,45-54,0-1,Self-discovery,Meeting new people,3,true,10
2024-03-08 11:46:34,false,55+,2-5,Adventure,Trying new food,9,false,4
2024-05-23 00:42:24,true,35-44,6-9,Budget-friendly,Personal growth,4,false,2
2024-07-15 22:08:33,true,25-34,6-9,Relaxation,Practicing a new language,6,false,1
2025-02-07 13:38:31,true,25-34,10+,Adventure,Practicing a new language,7,false,8
2024-05-03 04:28:30,false,25-34,10+,Budget-friendly,Personal growth,6,true,7
2024-10-10 01:10:40,false,45-54,6-9,Adventure,Trying new food,10,true,2
2024-11-27 22:11:10,true,55+,6-9,Self-discovery,Personal growth,1,true,8
2024-10-06 05:31:46,false,25-34,10+,Self-discovery,Personal growth,4,true,3
2024-06-28 02:32:22,true,25-34,0-1,Adventure,Meeting new people,3,true,7
2024-07-08 10:50:06,true,Under 25,10+,Cultural Immersion,Practicing a new language,6,false,4
2024-11-19 04:26:31,true,35-44,0-1,Budget-friendly,Personal growth,10,false,5
2024-12-08 00:32:47,false,Under 25,2-5,Budget-friendly,Exploring new places,7,true,5
2024-07-19 22:40:30,false,45-54,6-9,Self-discovery,Exploring new places,10,false,4
2025-01-25 06:48:43,false,55+,2-5,Relaxation,Personal growth,7,true,8
2025-02-19 15:52:42,false,45-54,10+,Budget-friendly,Personal growth,6,false,4
2025-02-13 06:43:48,false,35-44,2-5,Budget-friendly,Personal growth,3,true,8
2024-06-26 09:57:06,true,35-44,10+,Adventure,Exploring new places,1,false,7
2024-04-05 10:22:39,true,Under 25,0-1,Budget-friendly,Exploring new places,6,false,7
2024-10-23 02:16:56,false,Under 25,10+,Adventure,Practicing a new language,3,false,9
2024-04-27 18:06:41,false,Under 25,2-5,Cultural Immersion,Personal growth,5,false,4
2024-09-24 05:05:42,false,45-54,2-5,Budget-friendly,Meeting new people,2,false,1
2024-12-11 08:54:28,false,35-44,2-5,Relaxation,Personal growth,6,true,7
2024-10-22 02:24:01,true,Under 25,10+,Self-discovery,Practicing a new language,7,false,3
2024-11-05 15:25:56,false,Under 25,2-5,Self-discovery,Trying new food,10,true,4
2024-06-26 18:31:01,true,25-34,6-9,Cultural Immersion,Personal growth,7,false,4
2025-01-05 12:03:00,true,Under 25,10+,Relaxation,Trying new food,9,false,6
2025-02-25 06:50:56,true,Under 25,10+,Self-discovery,Trying new food,9,true,2
2024-09-19 09:31:34,true,55+,6-9,Self-discovery,Exploring new places,5,false,10
2024-09-26 05:15:45,false,45-54,0-1,Adventure,Trying new food,5,false,10
2024-11-04 10:50:46,true,55+,0-1,Relaxation,Trying new food,2,true,8
2024-04-29 11:55:09,true,Under 25,6-9,Budget-friendly,Practicing a new language,10,false,2
2024-06-07 09:52:40,true,35-44,10+,Cultural Immersion,Meeting new people,7,false,5
2024-11-20 18:59:47,false,55+,6-9,Self-discovery,Meeting new people,10,false,3
2024-11-12 06:08:59,true,45-54,6-9,Self-discovery,Meeting new people,6,false,7
2025-01-11 21:47:23,true,Under 25,6-9,Cultural Immersion,Practicing a new language,9,false,4
2024-08-31 17:28:41,true,55+,6-9,Budget-friendly,Meeting new people,5,true,6
2024-10-28 17:55:57,true,35-44,6-9,Adventure,Exploring new places,5,false,8
2025-01-08 08:10:13,true,25-34,0-1,Relaxation,Personal growth,1,true,7
2024-07-08 22:31:13,true,Under 25,6-9,Relaxation,Exploring new places,5,true,2
2024-12-21 02:32:47,true,35-44,10+,Cultural Immersion,Personal growth,8,true,3
2024-04-03 19:17:50,true,45-54,2-5,Budget-friendly,Exploring new places,9,true,2
2025-02-16 07:37:12,true,25-34,0-1,Adventure,Practicing a new language,2,false,7
2024-07-22 22:26:12,true,55+,6-9,Relaxation,Personal growth,1,false,6
2024-09-06 04:05:56,false,55+,2-5,Cultural Immersion,Practicing a new language,10,false,2
2025-02-08 23:07:54,false,Under 25,10+,Self-discovery,Exploring new places,3,true,1
2024-03-10 12:00:54,false,Under 25,6-9,Cultural Immersion,Trying new food,9,true,1
2024-10-29 07:51:30,false,Under 25,10+,Self-discovery,Exploring new places,2,true,2
2024-09-29 22:44:33,false,35-44,10+,Budget-friendly,Personal growth,6,true,9
2024-03-04 17:25:02,true,25-34,6-9,Self-discovery,Personal growth,5,true,5
2024-12-07 11:45:43,true,55+,10+,Budget-friendly,Practicing a new language,1,true,8
2024-07-03 21:09:07,false,55+,10+,Self-discovery,Trying new food,6,false,3
2024-03-20 15:37:03,true,35-44,2-5,Cultural Immersion,Personal growth,8,true,7
2024-07-29 18:38:23,false,25-34,0-1,Cultural Immersion,Trying new food,8,false,3
2024-11-05 08:52:39,true,55+,10+,Cultural Immersion,Exploring new places,4,false,2
2024-04-16 09:41:52,false,Under 25,0-1,Relaxation,Practicing a new language,7,false,4
2024-03-12 00:13:10,false,55+,10+,Cultural Immersion,Personal growth,6,false,6
2024-07-25 18:47:37,true,35-44,6-9,Budget-friendly,Exploring new places,3,true,4
2024-03-22 09:18:41,false,25-34,10+,Relaxation,Trying new food,10,true,3
2024-10-27 03:07:43,false,Under 25,0-1,Cultural Immersion,Personal growth,5,false,2
2025-02-14 22:49:02,false,35-44,0-1,Cultural Immersion,Trying new food,1,false,1
2025-01-29 13:36:04,false,35-44,10+,Relaxation,Meeting new people,1,false,1
2024-12-10 23:03:21,true,35-44,0-1,Budget-friendly,Meeting new people,8,false,7
2024-05-27 03:06:22,true,55+,6-9,Self-discovery,Practicing a new language,5,false,9
2024-07-03 06:10:12,true,45-54,2-5,Adventure,Practicing a new language,5,true,6
2024-04-04 11:15:43,false,25-34,2-5,Relaxation,Meeting new people,4,true,10
2024-07-31 04:06:15,false,Under 25,0-1,Adventure,Practicing a new language,4,true,4
2025-02-09 20:58:58,false,25-34,0-1,Budget-friendly,Trying new food,4,true,3
2024-11-23 23:59:57,true,35-44,0-1,Adventure,Practicing a new language,4,true,4
2024-10-25 03:36:11,true,35-44,0-1,Self-discovery,Trying new food,6,false,2
2024-03-06 11:28:10,true,Under 25,2-5,Budget-friendly,Trying new food,7,false,6
2025-01-16 02:52:56,false,55+,10+,Budget-friendly,Meeting new people,5,true,10
2024-09-13 23:46:23,false,45-54,6-9,Relaxation,Exploring new places,7,true,4
2024-03-19 12:05:28,false,45-54,2-5,Relaxation,Trying new food,9,true,3
2024-08-17 23:27:50,false,55+,2-5,Adventure,Personal growth,7,true,4
2024-10-05 00:52:02,true,55+,10+,Self-discovery,Personal growth,10,false,1
2024-08-13 01:51:04,true,Under 25,6-9,Budget-friendly,Meeting new people,1,true,4
2024-11-06 22:57:38,false,25-34,10+,Budget-friendly,Exploring new places,9,true,4
2024-06-06 14:57:04,true,25-34,10+,Relaxation,Trying new food,6,true,4
2024-05-01 05:28:05,false,35-44,6-9,Budget-friendly,Personal growth,8,false,8
2025-02-04 09:35:17,false,Under 25,6-9,Adventure,Meeting new people,7,false,9
2024-03-08 16:41:21,false,45-54,2-5,Self-discovery,Meeting new people,3,true,2
2024-06-26 13:58:10,true,55+,0-1,Relaxation,Trying new food,8,false,8
2024-05-10 11:02:00,true,55+,0-1,Self-discovery,Personal growth,5,true,4
2024-08-28 22:48:48,true,45-54,0-1,Self-discovery,Practicing a new language,7,true,8
2024-05-18 07:23:04,true,45-54,6-9,Self-discovery,Personal growth,8,false,2
2024-04-06 17:34:33,false,45-54,10+,Budget-friendly,Trying new food,3,false,5
2024-04-25 15:59:47,false,45-54,0-1,Cultural Immersion,Practicing a new language,8,true,1
2024-05-01 12:55:19,true,35-44,6-9,Self-discovery,Meeting new people,4,false,10
2024-09-12 10:12:14,true,25-34,2-5,Relaxation,Practicing a new language,8,false,2
2024-11-11 18:37:54,true,Under 25,0-1,Self-discovery,Personal growth,3,false,4
2024-08-05 01:55:55,true,35-44,6-9,Self-discovery,Personal growth,1,true,4
2025-02-27 22:32:15,false,45-54,10+,Cultural Immersion,Personal growth,3,true,9
2024-09-04 19:12:20,false,Under 25,6-9,Adventure,Exploring new places,4,true,9
2024-05-14 06:05:03,false,45-54,0-1,Cultural Immersion,Trying new food,8,true,3
2024-05-08 01:19:34,true,55+,10+,Cultural Immersion,Meeting new people,5,true,3
2024-11-13 18:41:28,false,55+,6-9,Relaxation,Trying new food,7,false,5
2025-02-23 21:11:22,false,25-34,6-9,Relaxation,Meeting new people,1,false,4
2025-02-07 22:28:25,false,25-34,10+,Self-discovery,Personal growth,10,false,4
2024-09-04 17:11:46,false,55+,10+,Self-discovery,Meeting new people,9,false,5
2024-03-08 03:54:35,false,Under 25,0-1,Budget-friendly,Trying new food,2,true,8
2024-03-09 16:20:42,false,Under 25,0-1,Budget-friendly,Trying new food,5,false,3
2024-08-10 06:39:05,true,55+,0-1,Budget-friendly,Exploring new places,7,false,8
2024-03-01 00:41:58,false,25-34,2-5,Self-discovery,Personal growth,5,false,5
2024-11-25 22:55:08,true,25-34,10+,Relaxation,Practicing a new language,3,true,5
2024-09-12 20:57:23,true,45-54,0-1,Adventure,Exploring new places,5,true,10
2025-01-25 06:27:19,false,45-54,0-1,Self-discovery,Personal growth,6,false,9
2024-05-17 08:39:41,false,25-34,0-1,Adventure,Meeting new people,1,true,8
2024-06-14 08:37:10,false,45-54,2-5,Cultural Immersion,Trying new food,3,true,5
2024-07-14 04:04:27,true,55+,10+,Cultural Immersion,Trying new food,1,false,4
2024-10-10 19:28:21,false,25-34,10+,Adventure,Exploring new places,4,true,6
2024-11-10 03:33:48,false,55+,6-9,Self-discovery,Trying new food,8,false,8
2025-02-11 15:12:56,true,45-54,0-1,Self-discovery,Practicing a new language,3,true,7
2025-01-10 02:06:45,true,45-54,6-9,Budget-friendly,Exploring new places,7,false,8
2025-01-12 16:31:14,true,Under 25,10+,Budget-friendly,Meeting new people,3,false,3
2024-07-05 08:44:36,true,45-54,0-1,Budget-friendly,Personal growth,8,true,6
2024-07-27 21:41:23,false,45-54,10+,Self-discovery,Meeting new people,9,false,7
2024-04-28 20:37:23,true,25-34,10+,Adventure,Exploring new places,2,true,1
2024-03-17 07:27:32,false,55+,2-5,Cultural Immersion,Personal growth,1,true,8
2024-08-02 16:40:04,false,55+,2-5,Budget-friendly,Meeting new people,8,true,9
2025-01-23 02:10:21,true,35-44,2-5,Self-discovery,Meeting new people,10,false,6
2024-11-07 18:14:18,true,35-44,10+,Budget-friendly,Meeting new people,8,false,7
2024-04-21 02:21:54,false,Under 25,6-9,Relaxation,Trying new food,9,false,7
2024-11-18 22:51:22,true,35-44,6-9,Adventure,Personal growth,6,false,7
2025-02-23 20:28:17,false,55+,10+,Relaxation,Exploring new places,4,true,6
2024-03-21 21:32:27,true,25-34,10+,Budget-friendly,Trying new food,9,true,2
2024-11-09 08:00:55,false,Under 25,2-5,Adventure,Exploring new places,6,false,3
2024-08-29 15:11:41,false,25-34,2-5,Cultural Immersion,Personal growth,6,true,10
2025-01-22 03:09:11,true,Under 25,0-1,Adventure,Exploring new places,1,true,1
2024-08-28 01:12:44,true,25-34,0-1,Relaxation,Trying new food,7,true,8
2024-05-17 12:11:34,false,45-54,6-9,Self-discovery,Trying new food,2,true,5
2024-04-19 03:54:28,false,55+,0-1,Adventure,Personal growth,10,true,10
2024-08-13 00:12:35,true,Under 25,0-1,Cultural Immersion,Practicing a new language,1,true,6
2024-07-15 13:10:42,false,25-34,2-5,Adventure,Practicing a new language,8,false,10
2024-12-15 16:48:23,true,35-44,2-5,Adventure,Exploring new places,3,false,8
2024-08-13 04:25:24,true,Under 25,10+,Budget-friendly,Trying new food,10,false,1
2024-05-22 15:48:05,false,55+,6-9,Self-discovery,Personal growth,7,false,8
2024-03-17 11:52:50,true,Under 25,10+,Budget-friendly,Practicing a new language,4,false,7
2024-10-23 19:38:32,false,55+,0-1,Adventure,Meeting new people,8,false,6
2024-05-22 22:21:23,false,Under 25,6-9,Adventure,Practicing a new language,5,false,2
2024-03-30 10:42:44,false,55+,0-1,Relaxation,Exploring new places,1,true,2
2024-07-16 13:21:25,true,55+,6-9,Relaxation,Personal growth,7,true,4
2025-01-21 20:24:33,true,35-44,6-9,Adventure,Exploring new places,10,false,6
2024-03-05 05:41:25,false,Under 25,2-5,Adventure,Practicing a new language,8,true,10
2024-06-01 03:42:41,true,55+,10+,Cultural Immersion,Personal growth,3,true,6
2024-12-10 09:29:38,true,Under 25,2-5,Budget-friendly,Personal growth,2,true,1
2024-11-30 17:36:19,false,35-44,2-5,Adventure,Practicing a new language,10,false,3
2024-08-09 04:53:16,false,35-44,6-9,Self-discovery,Practicing a new language,1,true,5
2025-01-08 05:06:55,false,45-54,2-5,Adventure,Exploring new places,9,true,3
